,Samples,LR,SVM,SVC,DT,RF,ANN
0,2026,0.8076387698545728,0.9814810379209105,0.8030210239575699,0.99853515625,0.99853515625,0.924449122676028
1,3596,0.7444366661104713,0.9892984781623853,0.7819383011683666,0.9985981308411215,0.9985981308411215,0.9474464740347293
2,6229,0.774410035736855,0.9967741935483871,0.7707092104841164,0.9984767025089606,0.9984767025089606,0.9755302374804472
3,9081,0.7371200767658674,0.9976465364120781,0.6782179336653923,0.9984902309058614,0.9984902309058614,0.9576787967043265
4,13744,0.5919412580685806,0.9976131541725601,0.5708488052383919,0.9984750707213579,0.9984750707213579,0.9591630606157674
5,22265,0.459274957594518,0.997610566410383,0.4956402216848138,0.9984834591239331,0.9984834591239331,0.9325789961881541
6,36467,0.27818507864074943,0.9442454759783889,0.40318507864074943,0.998480390429543,0.998480390429543,0.9373247647030662
7,50668,0.27818507864074943,0.9331770074388019,0.2733104268301645,0.9760956120899646,0.9984793330201973,0.9718607283690345
8,64872,0.2733104268301645,0.9073765593157588,0.2733104268301645,0.9984788848971542,0.9984788848971542,0.9717602802459914
