,0.2,0.4,0.6,0.8,1.0
accuracy,0.9894397939471989,0.9892791603618686,0.9893973214285714,0.9890861677639522,0.9893501944523141
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.998515675910506,0.9985023746132259,0.9985202492211838,0.9984769794774108,0.9985140010924878
f1_weighted,0.9897958743995421,0.9896766697783781,0.9897921417524834,0.9895057924055106,0.9897502157762363
precision_weighted,0.9908842258009599,0.9908707963848279,0.9909758998536125,0.9907595233171047,0.9909480517070196
recall_weighted,0.9894397939471989,0.9892791603618686,0.9893973214285714,0.9890861677639522,0.9893501944523141
