,0.2,0.4,0.6,0.8,1.0
accuracy,0.9018379281537177,0.9136094674556213,0.9155838128828662,0.9165361456266751,0.9168847803085148
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.3348941251393598,0.5035251806660543,0.5019118858464752,0.5006836453916499,0.501266832793931
f1,0.7372693726937269,0.7740786896920063,0.778834720570749,0.7817583785225353,0.7826581378820185
precision,0.9148351648351648,0.9211864406779661,0.9220157657657657,0.9208376963350785,0.9204279505182213
recall,0.6174289245982695,0.6674854160270187,0.6741457389872375,0.6791782514674081,0.6807616221562809
