,0.2,0.4,0.6,0.8,1.0
0,101.29141998291016,238.13590359687805,383.98348736763,533.7801287174225,676.31991147995
1,99.54972815513611,231.9629967212677,382.58411169052124,530.5095870494843,681.9797887802124
2,99.89819359779358,231.60149598121643,384.50873708724976,530.723762512207,665.9825737476349
3,98.78474807739258,233.56155347824097,379.5824251174927,531.5801708698273,673.8533692359924
4,100.15091323852539,236.91693687438965,383.85208344459534,533.1969134807587,673.7329006195068
5,99.9298963546753,234.38305139541626,380.79777097702026,532.3824005126953,683.0054516792297
6,98.67517399787903,233.26875042915344,380.28131103515625,528.3943622112274,671.4572978019714
7,99.93208384513855,233.10845017433167,382.55046367645264,534.5231540203094,680.5637753009796
8,98.38839507102966,238.64691710472107,380.4765751361847,534.688999414444,676.2463109493256
9,97.77943086624146,236.58757781982422,380.74600076675415,533.0181376934052,669.6644866466522
