,0.2,0.4,0.6,0.8,1.0
0,5.328592777252197,11.448235273361206,17.10953450202942,24.12160634994507,35.38158583641052
1,5.322425842285156,11.36078953742981,17.098146438598633,24.1777503490448,35.16412329673767
2,5.324608564376831,11.350391864776611,17.13341212272644,24.275684118270874,35.11574125289917
3,5.319148302078247,11.328319787979126,17.1110200881958,24.14837670326233,35.00168323516846
4,5.328246593475342,11.453001499176025,17.09648633003235,24.321330547332764,35.35174107551575
5,5.3306052684783936,11.359082460403442,17.09208583831787,24.128926992416382,34.96643042564392
6,5.322664499282837,11.345175981521606,17.150315761566162,24.18704652786255,35.334575176239014
7,5.326937913894653,11.342478513717651,17.165895223617554,24.160719871520996,35.23124074935913
8,5.3204169273376465,11.341470003128052,17.104389429092407,24.162631034851074,35.26692461967468
9,5.327790260314941,11.385366678237915,17.14939570426941,24.245956420898438,35.16325831413269
