,0.2,0.4,0.6,0.8,1.0
accuracy,0.9922123275711542,0.993399685699319,0.994074884611579,0.9940719658112196,0.9941191261105213
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.8278976772382367,0.9277425704556845,0.9527695794604102,0.9550391650387877,0.9566170396149678
f1_weighted,0.9914649667149678,0.9927825546927997,0.9935216147495737,0.9935104136638733,0.9935371298533711
precision_weighted,0.9922001341582232,0.993325812878721,0.9940093807163373,0.9939986647320345,0.9940507605475605
recall_weighted,0.9922123275711542,0.993399685699319,0.994074884611579,0.9940719658112196,0.9941191261105213
