,0.2,0.4,0.6,0.8,1.0
accuracy,0.9919504103370002,0.9939409813165706,0.9941855050869555,0.994272793148305,0.9940702352349555
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.811905999249716,0.9098238081231784,0.9543587573594644,0.9563716625978076,0.9553165904012715
f1_weighted,0.991168449615143,0.993444028930649,0.9936560072881027,0.9937269040734463,0.9934882546254878
precision_weighted,0.9918612471381716,0.9938743686409415,0.9941125762447424,0.9942118483945971,0.9940023025899137
recall_weighted,0.9919504103370002,0.9939409813165706,0.9941855050869555,0.994272793148305,0.9940702352349555
