,0.2,0.4,0.6,0.8,1.0
accuracy,0.9929864385076539,0.9934811710610557,0.9937392448516701,0.9941621813722218,0.9942238928452115
std,0.0003980110791114028,0.00026762352189180693,0.000289701087884084,0.00023708323047058816,0.0001566997151621709
balanced_accuracy,0.8802009412314685,0.9026971630431424,0.9142650693080062,0.9526858410373832,0.9570208653005764
f1_weighted,0.9923331453973523,0.9928802973850702,0.9931444010941508,0.9935977218382143,0.9936621217406211
precision_weighted,0.9929498304814262,0.9934196227656402,0.9936775716996645,0.9940890150103382,0.9941521621327194
recall_weighted,0.9929864385076539,0.9934811710610557,0.9937392448516701,0.9941621813722218,0.9942238928452115
