,Samples,LR,SVM,DT,RF,ANN
0,57270,0.16954876600456673,0.2700286629598545,0.9587539217510759,0.9587539217510759,0.8390872966951826
1,114540,0.1704267760574792,0.2833543191361826,0.9602818965339581,0.9602818965339581,0.942534536706547
2,171812,0.16360866255647072,0.28194685151544524,0.9583940101353203,0.9583940101353203,0.9543565113259596
3,229082,0.16442993342828124,0.27204595902651313,0.9576572755489713,0.9576572755489713,0.9558605609699158
4,286352,0.16817049429208464,0.2781037709617108,0.9566179380423605,0.9566179380423605,0.9553170396149679
