,0.2,0.4,0.6,0.8,0.99999999
accuracy,0.9902042954426402,0.9919504103370003,0.9926721822040616,0.9922734702707083,0.9910494384667858
std,0.00071227791354535,0.0006256844025552112,0.00032318708539799516,0.002163850832025738,0.0030717622705522967
balanced_accuracy,0.6218343466926164,0.8244855036955038,0.8555568103943983,0.8897048391532673,0.937411442068844
f1_weighted,0.9887988979779966,0.9912061905160243,0.9920208404909572,0.9912363011863391,0.9913337739207153
precision_weighted,0.9891961226785921,0.9918389969824389,0.9925895555487049,0.9922409733725139,0.9930841427999472
recall_weighted,0.9902042954426402,0.9919504103370003,0.9926721822040616,0.9922734702707083,0.9910494384667858
