,Samples,LR,SVM,DT,RF,ANN
0,57270,0.9770560502881089,0.9865025318665969,0.9940632093591758,0.9940632093591758,0.9920202549327746
1,114540,0.9769600139689192,0.9875152785053256,0.9942465514230836,0.9942465514230836,0.9936790640824166
2,171812,0.9766430749889414,0.9879403068470188,0.9941913254021838,0.9941913254021838,0.9939817940539659
3,229082,0.9772876088038345,0.9879824691595149,0.9942815236465545,0.9942815236465545,0.9941418356745619
4,286352,0.977290188299715,0.9880601497457675,0.9941924624238699,0.9941924624238699,0.9941854780130748
