,0.2,0.4,0.6,0.8,1.0
accuracy,0.9590643274853801,0.9753567699269057,0.9806014479302023,0.9839198078730291,0.9866625828367768
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.6771093241758568,0.8989399212077689,0.924472773791005,0.9370676506511637,0.9752300550430499
f1_weighted,0.9537554877573189,0.9746937195230039,0.9803751308488555,0.9837993666282889,0.986720031080215
precision_weighted,0.9574923802449398,0.9756849261013874,0.9809477670658926,0.9845116728287948,0.9872491251120344
recall_weighted,0.9590643274853801,0.9753567699269057,0.9806014479302023,0.9839198078730291,0.9866625828367768
