,Samples,LR,SVM,DT,RF,ANN
0,57270,0.1678472098103728,0.9983571852357922,0.953399909612359,0.953399909612359,0.8323390994886368
1,114540,0.204883099984772,0.998365477078484,0.9548977039696378,0.9548977039696378,0.893853610775946
2,171811,0.16252209107936788,0.9984287604948918,0.9550880548234111,0.9550880548234111,0.9513134594700654
3,229081,0.12497641816654614,0.9984503366587462,0.9559968696253556,0.9559968696253556,0.9546770124558009
4,286352,0.12497709602782249,0.9984268114796505,0.9567065179661107,0.9567065179661107,0.9567051706736296
