,Samples,LR,SVM,DT,RF,ANN
0,57270,0.9763576043303649,0.9872359001222281,0.9937838309760783,0.9937838309760783,0.9914964204644665
1,114540,0.9815872184389732,0.9872970141435307,0.9939235201676271,0.9939235201676271,0.9930330015715034
2,171811,0.976590555901543,0.987783087229572,0.9940341421678472,0.9940341421678472,0.9938129689018748
3,229081,0.9716519484374523,0.9879518598225082,0.9941112532248418,0.9941112532248418,0.9940414089339579
4,286352,0.9718283790579427,0.987766804492373,0.9942169078616528,0.9942169078616528,0.9942064312454602
