,0.2,0.4,0.6,0.8,1.0
accuracy,0.9879750887608406,0.9886589837611314,0.9886600211814875,0.9887201473580166,0.988828435261689
std,0.0005678882216863739,0.00034157580982684604,0.0003198489645137006,0.000363745498124145,0.00019170238350587975
balanced_accuracy,0.6203100820227885,0.6583741160646436,0.6539558915213147,0.653208394144201,0.6578195656183625
f1_weighted,0.9857498815726929,0.9867143923670078,0.9867746058049564,0.986865071355206,0.9870258677199812
precision_weighted,0.9861842302636283,0.986828749862506,0.9868382804425355,0.9868490374319006,0.9869971271005072
recall_weighted,0.9879750887608406,0.9886589837611314,0.9886600211814875,0.9887201473580166,0.988828435261689
