,0.2,0.4,0.6,0.8,1.0
accuracy,0.9941446947209126,0.994185437401781,0.9942068131335958,0.9942422111618304,0.9942483382098235
std,0.00047842726303393596,0.00024007839367976241,0.00030023902147662446,0.00021335543109906764,0.00015832816814700853
balanced_accuracy,0.952599690341173,0.9561783996365832,0.9570866425332669,0.9570631530738786,0.9570240084942151
f1_weighted,0.9935548794783848,0.9936137052287647,0.9936406413090338,0.9936808338829234,0.9936865602854535
precision_weighted,0.9940864802495328,0.9941109070054908,0.9941353189161791,0.9941659483135469,0.9941747358706401
recall_weighted,0.9941446947209126,0.994185437401781,0.9942068131335958,0.9942422111618304,0.9942483382098235
