,Samples,LR,SVM,DT,RF,ANN
0,14317,0.17104242128972583,0.5658476586177049,0.9573169310936473,0.9573169310936473,0.5561078971980239
1,28635,0.1690691597245564,0.7795782818149298,0.9597849273594112,0.9597849273594112,0.6855765359021505
2,42953,0.17259807647534137,0.8732414198063465,0.9619888327778624,0.9619888327778624,0.8014574340665228
3,57270,0.16908376602377895,0.873295515791743,0.9592623374523503,0.9592623374523503,0.8454053859072059
4,71588,0.20852658996339768,0.9983281744889145,0.9585445859323006,0.9585445859323006,0.8755161880234863
