,0.2,0.4,0.6,0.8,1.0
accuracy,0.9936439198156038,0.994447354635935,0.9947849975554676,0.9946045049764275,0.9940632508241605
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.9573169310936473,0.9597849273594112,0.9619888327778624,0.9592623374523503,0.9585445859323006
f1_weighted,0.9930356446557085,0.9939392191536167,0.994341973781408,0.9941032651366748,0.9935042477505771
precision_weighted,0.9935452074314322,0.994412858234545,0.9947423938029204,0.994567162616239,0.9940102727454171
recall_weighted,0.9936439198156038,0.994447354635935,0.9947849975554676,0.9946045049764275,0.9940632508241605
