,0.2,0.4,0.6,0.8,1.0
accuracy,0.9886149332960816,0.9911995809324253,0.9917817148976789,0.9924218613584774,0.9925406492708275
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.5561078971980239,0.6855765359021505,0.8014574340665228,0.8454053859072059,0.8755161880234863
f1_weighted,0.9870673493808995,0.9902423719801791,0.9909932783442801,0.9917902398890144,0.9919103188579037
precision_weighted,0.9873064220158557,0.9908615645530111,0.9916137096670496,0.9922784665342145,0.9924763878236265
recall_weighted,0.9886149332960816,0.9911995809324253,0.9917817148976789,0.9924218613584774,0.9925406492708275
