,0.2,0.4,0.6,0.8,1.0
accuracy,0.9922996333158722,0.9934520691461498,0.9942436747356106,0.9940937921521209,0.9941156339051238
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.8376154077431857,0.9293050704556844,0.9574809606237155,0.9558039096789234,0.9566165904012716
f1_weighted,0.9915816097620541,0.9928362802531078,0.9936914891145182,0.9935324180506104,0.9935336407773474
precision_weighted,0.9922613009008239,0.9933804261800832,0.9941772479445629,0.9940206226515605,0.9940472621024768
recall_weighted,0.9922996333158722,0.9934520691461498,0.9942436747356106,0.9940937921521209,0.9941156339051238
