,0.2,0.4,0.6,0.8,1.0
accuracy,0.971852627902916,0.9767766719050114,0.9766487593925883,0.9766239888947578,0.9770038274571157
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.125,0.16375242631201087,0.16342544812811793,0.16321186674033505,0.16817049429208464
f1_weighted,0.9579798378404027,0.9681165845454772,0.967899384354154,0.9678733465337748,0.9686410629972003
precision_weighted,0.9444975303618038,0.9652454977689241,0.9648170801395609,0.9649244411973533,0.9649304328120031
recall_weighted,0.971852627902916,0.9767766719050114,0.9766487593925883,0.9766239888947578,0.9770038274571157
