,0.001,0.002,0.005,0.01,0.02,0.05,0.1,0.15,0.2,0.4,0.6,0.8,1.0
0,493244,519228,526240,533460,548664,558412,566976,571404,572276,572280,580720,580728,584568
1,493244,519236,526240,533464,548664,558416,566976,571404,572276,572280,580728,580728,584572
2,493244,519244,526244,533464,548668,558416,566976,571412,572280,572284,580728,580728,584572
3,493244,519244,526244,533464,548668,558416,566984,571412,572280,572284,580728,580728,584572
4,493244,519244,526244,533464,548668,558416,566984,571412,572280,572284,580728,580728,584572
