,0.001,0.002,0.005,0.01,0.02,0.05,0.1,0.15,0.2,0.4,0.6,0.8,1.0
0,500472,515292,517540,522148,522336,531216,531580,531836,532044,532228,532228,532480,532652
1,500528,515432,517732,522332,522384,531388,531580,532040,532220,532228,532228,532648,532652
2,500528,515432,517732,522332,522384,531388,531580,532040,532220,532228,532228,532648,532652
3,500528,515432,517732,522332,522384,531576,531580,532040,532220,532228,532228,532648,532652
4,500528,515432,517736,522332,522384,531576,531580,532040,532220,532228,532228,532648,532652
