,Samples,LR,SVM,DT,RF,ANN
0,57270,0.9771258948838834,0.9827309236947791,0.9944298934869914,0.9944298934869914,0.9921250218264361
1,114540,0.9771782783307141,0.9832896804609743,0.9946394272743146,0.9946394272743146,0.9939235201676271
2,171812,0.9765965124671152,0.9831443670989221,0.9943484739133471,0.9943484739133471,0.994197145717412
3,229082,0.976977676115976,0.9831719646240211,0.9943339066360517,0.9943339066360517,0.9942858888956793
4,286352,0.9770038274571157,0.9831151869028328,0.9941261105213164,0.9941261105213164,0.9941156339051238
