,0.2,0.4,0.6,0.8,0.99999999
accuracy,0.9943076654443862,0.9942290902741402,0.994365934824011,0.9941723925130456,0.9942099231333522
std,0.00039200182155831357,0.00038691321470509405,0.0001882418260004882,0.0001815628188926638,9.281047079403897e-05
balanced_accuracy,0.9580375072534615,0.9576700509287083,0.9581415523067875,0.9573066297559618,0.9564498705675895
f1_weighted,0.9937771321219244,0.9936810590891432,0.9938329066981648,0.9936082394540484,0.9936357488735993
precision_weighted,0.9942467358029926,0.9941609504374618,0.9942964783223609,0.9941007647851515,0.9941380833040846
recall_weighted,0.9943076654443862,0.9942290902741402,0.994365934824011,0.9941723925130456,0.9942099231333522
