,Samples,LR,SVM,DT,RF,ANN
0,57270,0.16902271874592198,0.9983255717779056,0.9559008643956199,0.9559008643956199,0.846254974584775
1,114540,0.20531568472060718,0.9983751056293713,0.9553325404713399,0.9553325404713399,0.9014830297650951
2,171811,0.20539749364595838,0.9983777614006075,0.9554199623246202,0.9554199623246202,0.952433838226646
3,229081,0.16759973714381177,0.998431429790483,0.9559755889508267,0.9559755889508267,0.955971659104203
4,286352,0.12497350791170501,0.9984311295508019,0.9566859363872753,0.9566859363872753,0.9566850383503839
