,0.2,0.4,0.6,0.8,1.0
accuracy,0.9939060590186835,0.9941592456783657,0.9941913236733336,0.9942378703924355,0.9941575406011806
std,0.0006565949249856398,0.00041633033062916073,0.00031647819540354916,0.0003818161908962763,0.00013774315642557414
balanced_accuracy,0.9527366873470342,0.9552639717506664,0.9561062276439664,0.9569586001510721,0.956559972619576
f1_weighted,0.9933101234479157,0.9935694009672771,0.9936017321466396,0.993672296607485,0.9935778512113274
precision_weighted,0.9938027444502044,0.9940879121708898,0.9941347259094055,0.9941660674080538,0.994090412246735
recall_weighted,0.9939060590186835,0.9941592456783657,0.9941913236733336,0.9942378703924355,0.9941575406011806
