,0.2,0.4,0.6,0.8,1.0
accuracy,0.9763691965526828,0.9802324772047052,0.9834779783728593,0.9835379464285714,0.9843236620816395
std,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,0.9952094767173408,0.9968104222821204,0.9973346909439387,0.9973504580564039,0.9974708905340329
f1,0.950379451255108,0.9579757324652264,0.9646052893219327,0.9644578313253012,0.9663659716828963
precision,0.9064587973273942,0.919341096279466,0.9316304974073363,0.9313554392088423,0.9349208184024969
recall,0.9987730061349693,1.0,1.0,1.0,1.0
