,Samples,LR,SVM,SVC,DT,RF,ANN
0,7194,0.9049207673060884,0.9763691965526828,0.9047817625799277,0.9923547400611621,0.9923547400611621,0.9644147901028635
1,14367,0.9042249599777268,0.9802324772047052,0.9171016913760701,0.9897682188348298,0.9897682188348298,0.9731328739472402
2,21547,0.9181324546340558,0.9834779783728593,0.9166473290945375,0.9905323246855711,0.9905323246855711,0.9802292662551632
3,28672,0.9177594866071429,0.9835379464285714,0.91796875,0.99072265625,0.99072265625,0.9852469308035714
4,35914,0.917358133318483,0.9843236620816395,0.9168847803085148,0.9905329398006348,0.9905329398006348,0.9875257559726012
