,0.2,0.4,0.6,0.8,1.0
accuracy,0.9942727431464989,0.9942116291251966,0.9943542942274279,0.994172392608322,0.9942099231333522
std,0.00041172781989006087,0.0003831518815696219,0.00018220547315107397,0.0001783831514274948,9.281047079403897e-05
balanced_accuracy,0.9572019259208474,0.9578375846394203,0.958140055368027,0.9573066297685756,0.9564498705675895
f1_weighted,0.9937423725748958,0.9936634384235663,0.9938214374099352,0.9936081123661247,0.9936358341441182
precision_weighted,0.9942132562262339,0.9941479088851685,0.9942823464383398,0.9941029984010964,0.9941363167601998
recall_weighted,0.9942727431464989,0.9942116291251966,0.9943542942274279,0.994172392608322,0.9942099231333522
